split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.1572265625,0.21466666666666667,0.7620085391752914,153.92562539815972,120.73521800610159,251.07764116504234,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.15283203125,0.20866666666666667,0.7625030417761858,123.69358872260477,120.73521800610159,251.07764116504234,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.15283203125,0.20866666666666667,0.7622561561920997,123.69269993450206,120.73521800610159,251.07764116504234,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.14990234375,0.20466666666666666,0.7625649053303838,106.98611433295135,120.73521800610159,251.07764116504234,True
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.15380859375,0.21,0.763040736535319,129.84200300428043,120.73521800610159,251.07764116504234,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.150390625,0.20533333333333334,0.7623720589456771,109.59987990691768,120.73521800610159,251.07764116504234,True
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.154296875,0.21066666666666667,0.7622268245514521,133.02884313045206,120.73521800610159,251.07764116504234,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.15185546875,0.20733333333333334,0.7622069771067352,117.8441981170006,120.73521800610159,251.07764116504234,True
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.150390625,0.20533333333333334,0.7619419632330713,109.5983315623523,120.73521800610159,251.07764116504234,True
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.15380859375,0.21,0.7620358410379603,129.83838538048994,120.73521800610159,251.07764116504234,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.1513671875,0.20666666666666667,0.7618171862205364,115.02588992292534,120.73521800610159,251.07764116504234,True
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.154296875,0.21066666666666667,0.7628265819065653,133.03100225693046,120.73521800610159,251.07764116504234,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.1572265625,0.21466666666666667,0.7621958999463107,153.92629989693538,120.73521800610159,251.07764116504234,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.14990234375,0.20466666666666666,0.7622560103927472,106.98500231117585,120.73521800610159,251.07764116504234,True
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.15576171875,0.21266666666666667,0.7623627048691578,143.08859621570983,120.73521800610159,251.07764116504234,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.14794921875,0.202,0.762318083543733,97.15373734974884,120.73521800610159,251.07764116504234,True
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.154296875,0.21066666666666667,0.7627208919543856,133.0306217731026,120.73521800610159,251.07764116504234,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.1533203125,0.20933333333333334,0.7627530944272876,126.72952609221824,120.73521800610159,251.07764116504234,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.15185546875,0.20733333333333334,0.7623583214237164,117.84474295654174,120.73521800610159,251.07764116504234,True
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.15966796875,0.218,0.7625967281166365,173.88884866294293,120.73521800610159,251.07764116504234,False
heldout_benign_stream_20,0,0,1500,0.0,0,1500,0.15673828125,0.214,0.7618592330894084,150.22212639617254,120.73521800610159,251.07764116504234,False
heldout_benign_stream_21,0,0,1500,0.0,0,1500,0.15478515625,0.21133333333333335,0.7629469763702545,136.3015077631192,120.73521800610159,251.07764116504234,False
heldout_benign_stream_22,0,0,1500,0.0,0,1500,0.1513671875,0.20666666666666667,0.761382153945693,115.02432380673591,120.73521800610159,251.07764116504234,True
heldout_benign_stream_23,0,0,1500,0.0,0,1500,0.15625,0.21333333333333335,0.7622555792358012,146.6115299860633,120.73521800610159,251.07764116504234,False
heldout_benign_stream_24,0,0,1500,0.0,0,1500,0.15380859375,0.21,0.7622043213774983,129.83899190971226,120.73521800610159,251.07764116504234,False
heldout_benign_stream_25,0,0,1500,0.0,0,1500,0.1533203125,0.20933333333333334,0.7632779611097867,126.73141561227524,120.73521800610159,251.07764116504234,False
heldout_benign_stream_26,0,0,1500,0.0,0,1500,0.15380859375,0.21,0.7620539774797123,129.83845067168025,120.73521800610159,251.07764116504234,False
heldout_benign_stream_27,0,0,1500,0.0,0,1500,0.1533203125,0.20933333333333334,0.7625755164350271,126.7288868114461,120.73521800610159,251.07764116504234,False
heldout_benign_stream_28,0,0,1500,0.0,0,1500,0.15185546875,0.20733333333333334,0.7622152183884763,117.84422778561488,120.73521800610159,251.07764116504234,True
heldout_benign_stream_29,0,0,1500,0.0,0,1500,0.15185546875,0.20733333333333334,0.7625600326563269,117.84546911697913,120.73521800610159,251.07764116504234,True
heldout_benign_stream_30,0,0,1500,0.0,0,1500,0.1552734375,0.212,0.7631987086199626,139.65481073081642,120.73521800610159,251.07764116504234,False
heldout_benign_stream_31,0,0,1500,0.0,0,1500,0.1552734375,0.212,0.7633313984013101,139.6552884140293,120.73521800610159,251.07764116504234,False
heldout_benign_stream_32,0,0,1500,0.0,0,1500,0.15087890625,0.206,0.7620630858270042,112.27903748784246,120.73521800610159,251.07764116504234,True
heldout_benign_stream_33,0,0,1500,0.0,0,1500,0.15380859375,0.21,0.7628974772767927,129.84148727094973,120.73521800610159,251.07764116504234,False
heldout_benign_stream_34,0,0,1500,0.0,0,1500,0.15380859375,0.21,0.7630174516141522,129.8419191785642,120.73521800610159,251.07764116504234,False
heldout_benign_stream_35,0,0,1500,0.0,0,1500,0.15283203125,0.20866666666666667,0.761897825243062,123.69140994308552,120.73521800610159,251.07764116504234,False
heldout_benign_stream_36,0,0,1500,0.0,0,1500,0.15185546875,0.20733333333333334,0.7629096928093951,117.84672789353017,120.73521800610159,251.07764116504234,True
heldout_benign_stream_37,0,0,1500,0.0,0,1500,0.1552734375,0.212,0.7621399815425555,139.65099931333776,120.73521800610159,251.07764116504234,False
heldout_benign_stream_38,0,0,1500,0.0,0,1500,0.1533203125,0.20933333333333334,0.7616854407991762,126.72568253915705,120.73521800610159,251.07764116504234,False
heldout_benign_stream_39,0,0,1500,0.0,0,1500,0.1484375,0.20266666666666666,0.7627766258063644,99.52238517047417,120.73521800610159,251.07764116504234,True
heldout_benign_stream_40,0,0,1500,0.0,0,1500,0.15283203125,0.20866666666666667,0.7620931834156917,123.69211323250698,120.73521800610159,251.07764116504234,False
heldout_benign_stream_41,0,0,1500,0.0,0,1500,0.1552734375,0.212,0.7628164734674684,139.65343468426744,120.73521800610159,251.07764116504234,False
heldout_benign_stream_42,0,0,1500,0.0,0,1500,0.15576171875,0.21266666666666667,0.7618242062546595,143.08665762069762,120.73521800610159,251.07764116504234,False
heldout_benign_stream_43,0,0,1500,0.0,0,1500,0.15673828125,0.214,0.7622920089358918,150.22368438921987,120.73521800610159,251.07764116504234,False
