split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.046875,0.064,0.49757043550244484,2.4656702274395546,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.05029296875,0.06866666666666667,0.49788916161457536,2.5835032529315574,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.048828125,0.06666666666666667,0.49672488516102314,2.5270864231485644,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.04833984375,0.066,0.49837579156307005,2.516378619610963,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.04931640625,0.06733333333333333,0.49812847064027754,2.549162809937775,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.0478515625,0.06533333333333333,0.49752061351714444,2.497012174129141,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.04931640625,0.06733333333333333,0.4983900363804674,2.5501044466024583,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.0498046875,0.068,0.49830088101332776,2.567188759728801,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.05078125,0.06933333333333333,0.49792952400936435,2.6018465106405095,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.048828125,0.06666666666666667,0.4978436585847233,2.5311140074738847,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.0478515625,0.06533333333333333,0.49774618087207223,2.497824216606881,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.04833984375,0.066,0.49808860499286767,2.5153447479582347,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.0478515625,0.06533333333333333,0.49758826915775745,2.497255734435348,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.048828125,0.06666666666666667,0.49798594121953504,2.531626224959207,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.0478515625,0.06533333333333333,0.4985948419521708,2.500879396495236,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.0498046875,0.068,0.4984492656848156,2.5677229445461576,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.0458984375,0.06266666666666666,0.4976638647927084,2.4358340271669765,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.04833984375,0.066,0.4977703311605936,2.5141989621620477,2.3971278180097344,2.639007848098209,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.048828125,0.06666666666666667,0.4981086004831102,2.5320677983080775,2.3971278180097344,2.639007848098209,False
