split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.19091796875,0.26066666666666666,0.7872120493816088,841.8188989108147,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.1884765625,0.25733333333333336,0.787228543652674,743.7594020175696,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.189453125,0.25866666666666666,0.7874234259891401,781.5268960267724,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.7872239311964027,801.1259579921607,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.1845703125,0.252,0.786592236010244,610.1509291999275,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.19287109375,0.2633333333333333,0.7868282466977718,929.5364926356616,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.19189453125,0.262,0.7875156923181007,884.588681959952,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.1865234375,0.25466666666666665,0.7870152822541946,673.6348628198963,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.18701171875,0.25533333333333336,0.7868048689500479,690.5164521331674,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.19140625,0.2613333333333333,0.7870592678227465,862.9367359712126,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.193359375,0.264,0.7874869189788565,952.8666649462459,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.19189453125,0.262,0.7877727448522037,884.5896073490748,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.786972611943229,801.1250532428493,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.787241318396493,801.1260205860809,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.19091796875,0.26066666666666666,0.7869152298863076,841.8178303606317,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.7869786840796884,801.1250751025404,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.1943359375,0.2653333333333333,0.7875106634711357,1001.299863071655,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.19384765625,0.26466666666666666,0.7865305914653455,976.7785932035895,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.185546875,0.25333333333333335,0.78711457556497,641.1046279175303,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.18505859375,0.25266666666666665,0.78729358705776,625.4368951689725,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_20,0,0,1500,0.0,0,1500,0.19189453125,0.262,0.7864830833369912,884.5849645676201,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_21,0,0,1500,0.0,0,1500,0.19140625,0.2613333333333333,0.7867629563454321,862.9356692498942,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_22,0,0,1500,0.0,0,1500,0.19384765625,0.26466666666666666,0.7869366418862885,976.7800549851049,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_23,0,0,1500,0.0,0,1500,0.19189453125,0.262,0.7875401111059501,884.5887698675883,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_24,0,0,1500,0.0,0,1500,0.1904296875,0.26,0.7867800202468166,821.2178028107419,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_25,0,0,1500,0.0,0,1500,0.18310546875,0.25,0.7876472786262244,566.5205955621662,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_26,0,0,1500,0.0,0,1500,0.19287109375,0.2633333333333333,0.786810745385155,929.5364296309361,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_27,0,0,1500,0.0,0,1500,0.193359375,0.264,0.7872119470399823,952.865675047266,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_28,0,0,1500,0.0,0,1500,0.19482421875,0.266,0.787569728904363,1026.435361336149,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_29,0,0,1500,0.0,0,1500,0.1884765625,0.25733333333333336,0.7870146709633331,743.7586320758879,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_30,0,0,1500,0.0,0,1500,0.189453125,0.25866666666666666,0.7874310689231039,781.5269235413347,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_31,0,0,1500,0.0,0,1500,0.19287109375,0.2633333333333333,0.7877472219293654,929.5398009464953,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_32,0,0,1500,0.0,0,1500,0.18701171875,0.25533333333333336,0.7870538738872955,690.5173485509415,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_33,0,0,1500,0.0,0,1500,0.189453125,0.25866666666666666,0.7869653802922094,781.5252470622635,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_34,0,0,1500,0.0,0,1500,0.1865234375,0.25466666666666665,0.7868447082937947,673.6342487536389,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_35,0,0,1500,0.0,0,1500,0.18701171875,0.25533333333333336,0.7867702087070529,690.5163273562925,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_36,0,0,1500,0.0,0,1500,0.19287109375,0.2633333333333333,0.7872350564652995,929.5379571508247,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_37,0,0,1500,0.0,0,1500,0.18603515625,0.254,0.7869758563702859,657.1671381723197,821.2116159400173,1908.7649625504519,True
heldout_benign_stream_38,0,0,1500,0.0,0,1500,0.1923828125,0.26266666666666666,0.7864329456469366,906.7804014418648,821.2116159400173,1908.7649625504519,False
heldout_benign_stream_39,0,0,1500,0.0,0,1500,0.1875,0.256,0.7875204234752093,707.8265867408484,821.2116159400173,1908.7649625504519,True
