split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.1416015625,0.19333333333333333,0.7371158573442482,71.0940189864915,43.406368648621175,82.04093629451967,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.13818359375,0.18866666666666668,0.7374920235605195,60.22256207616763,43.406368648621175,82.04093629451967,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.1416015625,0.19333333333333333,0.737132059590403,71.09407731457766,43.406368648621175,82.04093629451967,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.13671875,0.18666666666666668,0.7365050868270797,56.107832895411434,43.406368648621175,82.04093629451967,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.14111328125,0.19266666666666668,0.7368143301615884,69.42152746262774,43.406368648621175,82.04093629451967,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.13916015625,0.19,0.7373034420531931,63.13792449670395,43.406368648621175,82.04093629451967,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.14306640625,0.19533333333333333,0.7376852248812649,76.36688059228675,43.406368648621175,82.04093629451967,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.1435546875,0.196,0.7373271191616306,78.21168074680031,43.406368648621175,82.04093629451967,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.14208984375,0.194,0.7380897215593851,72.81098587990378,43.406368648621175,82.04093629451967,False
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.1396484375,0.19066666666666668,0.7374197451063746,64.65161176915657,43.406368648621175,82.04093629451967,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.13671875,0.18666666666666668,0.737899958786036,56.11285443446367,43.406368648621175,82.04093629451967,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.1376953125,0.188,0.7360247728692254,58.812704745742366,43.406368648621175,82.04093629451967,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.13916015625,0.19,0.7375831261712675,63.138931359529025,43.406368648621175,82.04093629451967,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.140625,0.192,0.7370545101839303,67.79200772402675,43.406368648621175,82.04093629451967,False
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.1416015625,0.19333333333333333,0.7363095189850631,71.09111616839843,43.406368648621175,82.04093629451967,False
