split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.078125,0.10666666666666667,0.5707478212459379,4.98079341861269,4.369978756509942,5.759442573416469,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5704938698008523,5.584291328373874,4.369978756509942,5.759442573416469,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.5705706664281958,5.6687139681291185,4.369978756509942,5.759442573416469,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.571241170879044,5.4247045736518436,4.369978756509942,5.759442573416469,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.083984375,0.11466666666666667,0.5721014727636669,5.939309037161353,4.369978756509942,5.759442573416469,True
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.5712004064594224,5.424557821741206,4.369978756509942,5.759442573416469,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.0830078125,0.11333333333333333,0.5709690369046089,5.75636685799717,4.369978756509942,5.759442573416469,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.5697904063981428,5.6659050320209285,4.369978756509942,5.759442573416469,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.5714033946501648,5.425288579227878,4.369978756509942,5.759442573416469,False
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.08349609375,0.114,0.5710922008181106,5.845153795973385,4.369978756509942,5.759442573416469,True
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5707528584938462,5.585223687668652,4.369978756509942,5.759442573416469,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.08056640625,0.11,0.5711590334871415,5.34617988593182,4.369978756509942,5.759442573416469,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.08349609375,0.114,0.5714899679259664,5.846585757561665,4.369978756509942,5.759442573416469,True
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.5716017472531694,5.426002648598695,4.369978756509942,5.759442573416469,False
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.08154296875,0.11133333333333334,0.5698811142131732,5.499960895909908,4.369978756509942,5.759442573416469,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.080078125,0.10933333333333334,0.571444833134949,5.270856042273262,4.369978756509942,5.759442573416469,False
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.08447265625,0.11533333333333333,0.5714517928823888,6.029725236840394,4.369978756509942,5.759442573416469,True
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.08154296875,0.11133333333333334,0.5704775443363959,5.502108044353509,4.369978756509942,5.759442573416469,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.080078125,0.10933333333333334,0.5706811529342553,5.268106793550765,4.369978756509942,5.759442573416469,False
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5705467411588443,5.584481665262645,4.369978756509942,5.759442573416469,False
heldout_benign_stream_20,0,0,1500,0.0,0,1500,0.08154296875,0.11133333333333334,0.5710766628833768,5.504264871122641,4.369978756509942,5.759442573416469,False
heldout_benign_stream_21,0,0,1500,0.0,0,1500,0.07666015625,0.10466666666666667,0.5717992543376833,4.7864652591489,4.369978756509942,5.759442573416469,False
heldout_benign_stream_22,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5711259794171779,5.586566922992647,4.369978756509942,5.759442573416469,False
heldout_benign_stream_23,0,0,1500,0.0,0,1500,0.0830078125,0.11333333333333333,0.5700501563659377,5.753058888057954,4.369978756509942,5.759442573416469,False
heldout_benign_stream_24,0,0,1500,0.0,0,1500,0.08056640625,0.11,0.5695679385036827,5.340451943991368,4.369978756509942,5.759442573416469,False
heldout_benign_stream_25,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.5709582970988599,5.423686228043181,4.369978756509942,5.759442573416469,False
heldout_benign_stream_26,0,0,1500,0.0,0,1500,0.07958984375,0.10866666666666666,0.5706630013220737,5.19351889491502,4.369978756509942,5.759442573416469,False
heldout_benign_stream_27,0,0,1500,0.0,0,1500,0.078125,0.10666666666666667,0.5707726989537734,4.980882978360897,4.369978756509942,5.759442573416469,False
heldout_benign_stream_28,0,0,1500,0.0,0,1500,0.07861328125,0.10733333333333334,0.5699892656155845,5.047360080586699,4.369978756509942,5.759442573416469,False
heldout_benign_stream_29,0,0,1500,0.0,0,1500,0.083984375,0.11466666666666667,0.5709575315914837,5.9351908489414935,4.369978756509942,5.759442573416469,True
heldout_benign_stream_30,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.5707731780441284,5.4230197994461475,4.369978756509942,5.759442573416469,False
heldout_benign_stream_31,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5707902623270082,5.5853583414680354,4.369978756509942,5.759442573416469,False
heldout_benign_stream_32,0,0,1500,0.0,0,1500,0.083984375,0.11466666666666667,0.5701417732365242,5.932254118863639,4.369978756509942,5.759442573416469,True
heldout_benign_stream_33,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.5708771796604433,5.66981741576521,4.369978756509942,5.759442573416469,False
heldout_benign_stream_34,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5692453416963262,5.579796627197581,4.369978756509942,5.759442573416469,False
heldout_benign_stream_35,0,0,1500,0.0,0,1500,0.07763671875,0.106,0.5707687673585895,4.9132281797240385,4.369978756509942,5.759442573416469,False
heldout_benign_stream_36,0,0,1500,0.0,0,1500,0.07958984375,0.10866666666666666,0.5699318244321777,5.1908866581113955,4.369978756509942,5.759442573416469,False
heldout_benign_stream_37,0,0,1500,0.0,0,1500,0.08056640625,0.11,0.5709596921650993,5.345462257172468,4.369978756509942,5.759442573416469,False
heldout_benign_stream_38,0,0,1500,0.0,0,1500,0.0810546875,0.11066666666666666,0.571137461482025,5.424331219822575,4.369978756509942,5.759442573416469,False
heldout_benign_stream_39,0,0,1500,0.0,0,1500,0.08056640625,0.11,0.5709121292955183,5.345291030841976,4.369978756509942,5.759442573416469,False
heldout_benign_stream_40,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.5708607048188699,5.6697581063355456,4.369978756509942,5.759442573416469,False
heldout_benign_stream_41,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5725190223923795,5.591581877703373,4.369978756509942,5.759442573416469,False
heldout_benign_stream_42,0,0,1500,0.0,0,1500,0.08203125,0.112,0.571056886235168,5.586318187537411,4.369978756509942,5.759442573416469,False
heldout_benign_stream_43,0,0,1500,0.0,0,1500,0.08056640625,0.11,0.5711191271925337,5.346036223271231,4.369978756509942,5.759442573416469,False
heldout_benign_stream_44,0,0,1500,0.0,0,1500,0.083984375,0.11466666666666667,0.5693946982847456,5.9295646490372365,4.369978756509942,5.759442573416469,True
heldout_benign_stream_45,0,0,1500,0.0,0,1500,0.08203125,0.112,0.571117805671064,5.586537497506637,4.369978756509942,5.759442573416469,False
heldout_benign_stream_46,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5718828702513613,5.589291729995707,4.369978756509942,5.759442573416469,False
heldout_benign_stream_47,0,0,1500,0.0,0,1500,0.0791015625,0.108,0.5711445855394591,5.122515246399448,4.369978756509942,5.759442573416469,False
heldout_benign_stream_48,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.5712222362752614,5.671059619578555,4.369978756509942,5.759442573416469,False
heldout_benign_stream_49,0,0,1500,0.0,0,1500,0.0791015625,0.108,0.5720541594399781,5.125789712441317,4.369978756509942,5.759442573416469,False
attacker_stream_0,0,1,1500,1.0,1500,1500,0.17138671875,0.234,0.6945455621982202,313.0155674237487,4.369978756509942,5.759442573416469,True
attacker_stream_1,0,1,1500,1.0,1500,1500,0.17236328125,0.23533333333333334,0.6942768082284316,328.8279410576767,4.369978756509942,5.759442573416469,True
attacker_stream_2,0,1,1500,1.0,1500,1500,0.17333984375,0.23666666666666666,0.6938223289135311,345.44615151668603,4.369978756509942,5.759442573416469,True
attacker_stream_3,0,1,1500,1.0,1500,1500,0.171875,0.23466666666666666,0.6942204643030639,320.82274672283717,4.369978756509942,5.759442573416469,True
attacker_stream_4,0,1,1500,1.0,1500,1500,0.16943359375,0.23133333333333334,0.6935153739664084,283.65000960638315,4.369978756509942,5.759442573416469,True
attacker_stream_5,0,1,1500,1.0,1500,1500,0.1689453125,0.23066666666666666,0.6933148712064052,276.75400414202454,4.369978756509942,5.759442573416469,True
attacker_stream_6,0,1,1500,1.0,1500,1500,0.17626953125,0.24066666666666667,0.6941035798982323,400.5677653454635,4.369978756509942,5.759442573416469,True
attacker_stream_7,0,1,1500,1.0,1500,1500,0.1728515625,0.236,0.6932590391458716,337.0308637517789,4.369978756509942,5.759442573416469,True
attacker_stream_8,0,1,1500,1.0,1500,1500,0.173828125,0.23733333333333334,0.693986087705174,354.0718802367823,4.369978756509942,5.759442573416469,True
attacker_stream_9,0,1,1500,1.0,1500,1500,0.1767578125,0.24133333333333334,0.6932674323339729,410.578075787988,4.369978756509942,5.759442573416469,True
attacker_stream_10,0,1,1500,1.0,1500,1500,0.17431640625,0.238,0.6943382320266812,362.9155035562753,4.369978756509942,5.759442573416469,True
attacker_stream_11,0,1,1500,1.0,1500,1500,0.17236328125,0.23533333333333334,0.6940824363606103,328.8272413189526,4.369978756509942,5.759442573416469,True
