split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.22802734375,0.31133333333333335,0.7129195527304528,5556.27806400014,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.22705078125,0.31,0.7122354991773542,5286.7482221766395,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.2275390625,0.31066666666666665,0.7132547957467626,5419.8393971419155,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.22216796875,0.30333333333333334,0.7131483321104979,4123.098888867094,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.2314453125,0.316,0.7141695720260488,6612.596226478366,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.22607421875,0.30866666666666664,0.7124630093625138,5030.303679560814,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.22607421875,0.30866666666666664,0.712053054214886,5030.302203722283,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.22802734375,0.31133333333333335,0.7130261266499027,5556.27844766625,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.228515625,0.312,0.7138965788136605,5696.158267932069,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.22314453125,0.30466666666666664,0.7125300131039749,4333.2628536969705,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.22705078125,0.31,0.7131667907325594,5286.7515748262385,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.23291015625,0.318,0.7134242253990833,7124.7333355266,2839.9900379680407,7124.728098182784,True
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.23193359375,0.31666666666666665,0.7135817107255993,6779.078540486289,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.2255859375,0.308,0.7133714900322311,4906.790376222629,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.2275390625,0.31066666666666665,0.7135554855452676,5419.84047962519,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.22265625,0.304,0.7127870302307676,4226.87367033085,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.22314453125,0.30466666666666664,0.7137132618643253,4333.267113392508,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.2265625,0.30933333333333335,0.7137698245204351,5156.9362386751845,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.22216796875,0.30333333333333334,0.7129028244719202,4123.098005039595,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.22412109375,0.306,0.7139487928229046,4554.155301298956,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_20,0,0,1500,0.0,0,1500,0.22705078125,0.31,0.7128789170615318,5286.750538481023,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_21,0,0,1500,0.0,0,1500,0.2275390625,0.31066666666666665,0.7138158850865384,5419.841417063539,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_22,0,0,1500,0.0,0,1500,0.228515625,0.312,0.7144205642280288,5696.1601542795615,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_23,0,0,1500,0.0,0,1500,0.2275390625,0.31066666666666665,0.7139480784436159,5419.841892959625,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_24,0,0,1500,0.0,0,1500,0.2236328125,0.30533333333333335,0.7136568184548185,4442.336891469254,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_25,0,0,1500,0.0,0,1500,0.22265625,0.304,0.7125238777484852,4226.872722981913,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_26,0,0,1500,0.0,0,1500,0.22412109375,0.306,0.713435668662781,4554.15345405198,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_27,0,0,1500,0.0,0,1500,0.22119140625,0.302,0.7129760874887155,3923.1328489031202,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_28,0,0,1500,0.0,0,1500,0.2236328125,0.30533333333333335,0.7132682044616371,4442.335492458878,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_29,0,0,1500,0.0,0,1500,0.22509765625,0.30733333333333335,0.7136032697762246,4786.309471334984,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_30,0,0,1500,0.0,0,1500,0.2294921875,0.31333333333333335,0.7128420264884756,5986.566751412805,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_31,0,0,1500,0.0,0,1500,0.22607421875,0.30866666666666664,0.7133327300992973,5030.306810555467,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_32,0,0,1500,0.0,0,1500,0.2255859375,0.308,0.7131338315154784,4906.789520651968,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_33,0,0,1500,0.0,0,1500,0.2265625,0.30933333333333335,0.7125732444345232,5156.931930986875,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_34,0,0,1500,0.0,0,1500,0.2275390625,0.31066666666666665,0.7126347632743277,5419.837165025015,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_35,0,0,1500,0.0,0,1500,0.2255859375,0.308,0.7136098145424352,4906.791234190865,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_36,0,0,1500,0.0,0,1500,0.224609375,0.30666666666666664,0.7141072798734625,4668.789813243124,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_37,0,0,1500,0.0,0,1500,0.232421875,0.31733333333333336,0.7145774738877999,6949.760177506389,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_38,0,0,1500,0.0,0,1500,0.22802734375,0.31133333333333335,0.7133665709330801,5556.279673265669,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_39,0,0,1500,0.0,0,1500,0.22607421875,0.30866666666666664,0.7134896714098717,5030.307375544185,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_40,0,0,1500,0.0,0,1500,0.22314453125,0.30466666666666664,0.7136781359319858,4333.266986939151,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_41,0,0,1500,0.0,0,1500,0.22265625,0.304,0.7131456697274757,4226.874961433037,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_42,0,0,1500,0.0,0,1500,0.2236328125,0.30533333333333335,0.71342255142433,4442.3360481079435,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_43,0,0,1500,0.0,0,1500,0.2138671875,0.292,0.7129520042958291,2702.3042872859482,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_44,0,0,1500,0.0,0,1500,0.23388671875,0.31933333333333336,0.7130842567551142,7488.020416888318,2839.9900379680407,7124.728098182784,True
heldout_benign_stream_45,0,0,1500,0.0,0,1500,0.2275390625,0.31066666666666665,0.7136098016315466,5419.840675163101,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_46,0,0,1500,0.0,0,1500,0.22705078125,0.31,0.713169213625964,5286.751583548655,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_47,0,0,1500,0.0,0,1500,0.22509765625,0.30733333333333335,0.7134023986021277,4786.308748198757,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_48,0,0,1500,0.0,0,1500,0.22705078125,0.31,0.7144481522844306,5286.756187727825,2839.9900379680407,7124.728098182784,False
heldout_benign_stream_49,0,0,1500,0.0,0,1500,0.2236328125,0.30533333333333335,0.712946662338625,4442.334334907235,2839.9900379680407,7124.728098182784,False
