split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.19091796875,0.26066666666666666,0.7872120491838569,841.8188989101028,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.1884765625,0.25733333333333336,0.7872285435863976,743.759402017331,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.189453125,0.25866666666666666,0.7874234263992447,781.5268960282489,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.7872239303293233,801.1259579890392,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.1845703125,0.252,0.7865922355717964,610.1509291983491,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.19287109375,0.2633333333333333,0.786828245987761,929.5364926331056,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.19189453125,0.262,0.7875156924265087,884.5886819603423,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.1865234375,0.25466666666666665,0.787015281951461,673.6348628188065,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.18701171875,0.25533333333333336,0.7868048685725199,690.5164521318083,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.19140625,0.2613333333333333,0.7870592678392073,862.9367359712719,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.193359375,0.264,0.7874869184028026,952.8666649441722,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.19189453125,0.262,0.7877727435249862,884.5896073442968,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.786972611683488,801.1250532419142,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.7872413182108232,801.1260205854126,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.19091796875,0.26066666666666666,0.7869152299804607,841.8178303609706,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.18994140625,0.25933333333333336,0.7869786831283646,801.1250750991157,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.1943359375,0.2653333333333333,0.7875106626694751,1001.299863068769,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.19384765625,0.26466666666666666,0.7865305906128618,976.7785932005206,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.185546875,0.25333333333333335,0.7871145754683713,641.1046279171825,821.2116159362105,1908.7649625450902,False
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.18505859375,0.25266666666666665,0.7872935866204361,625.4368951673981,821.2116159362105,1908.7649625450902,False
